#RF00001  120 1428 5S_ribosomal_RNA Published;_PMID:11283358
RF02104  345 36 Deleted_in_lymphocytic_leukemia_1_conserved_region_2 Predicted;_CMfinder;
RF02105  122 58 Deleted_in_lymphocytic_leukemia_2_conserved_region_1 Predicted;_CMfinder;
RF02106  91 40 Deleted_in_lymphocytic_leukemia_2_conserved_region_2 Predicted;_Pfold;
RF02107  77 52 Deleted_in_lymphocytic_leukemia_2_conserved_region_3 Predicted;_CMfinder;
RF02108  59 46 Deleted_in_lymphocytic_leukemia_2_conserved_region_4 Predicted;_CMfinder;
RF02109  85 64 Deleted_in_lymphocytic_leukemia_2_conserved_region_5 Predicted;_RNAalifold;
RF02110  136 68 Deleted_in_lymphocytic_leukemia_2_conserved_region_6 Predicted;_Pfold;
RF02111  202 26 IS009 Predicted;_CMFinder;_Burge_SW
RF02112  239 46 DLG2_antisense_RNA_1_conserved_region_1 Predicted;_CMfinder;
RF02113  216 50 DLG2_antisense_RNA_1_conserved_region_2 Predicted;_RNAalifold;
RF02114  119 24 FAM13A_antisense_RNA_1_conserved_region_1 Predicted;_WAR;
RF02115  112 24 FAM13A_antisense_RNA_1_conserved_region_2 Predicted;_CMfinder;
RF02116  172 42 FAS_antisense_RNA_1_conserved_region Predicted;_Pfold;
RF02117  57 44 FMR1_antisense_RNA_1_conserved_region_1 Predicted;_CMfinder;
RF02118  128 54 FMR1_antisense_RNA_1_conserved_region_2 Predicted;_CMfinder;
RF02119  72 26 FTX_transcript,_XIST_regulator_conserved_region_1 Predicted;_WAR;
RF02120  98 40 FTX_transcript,_XIST_regulator_conserved_region_2 Predicted;_CMfinder;
RF02121  175 32 FTX_transcript,_XIST_regulator_conserved_region_3 Predicted;_CMfinder;
RF02122  209 32 FTX_transcript,_XIST_regulator_conserved_region_5 Predicted;_CMfinder;
RF02123  152 30 FTX_transcript,_XIST_regulator_conserved_region_4 Predicted;_CMfinder;
RF02124  136 38 JPX_transcript,_XIST_activator_conserved_region_1 Predicted;_Pfold;
RF02125  70 26 JPX_transcript,_XIST_activator_conserved_region_2 Predicted;_Pfold;
RF02126  71 36 Ghrelin_opposite_strand_RNA_conserved_region Predicted;_WAR;
RF02127  106 46 GNAS_antisense_RNA_1_conserved_region_1 Predicted;_CMfinder;
RF02128  116 36 GNAS_antisense_RNA_1_conserved_region_2 Predicted;_WAR;
RF02129  39 22 GNAS_antisense_RNA_1_conserved_region_3 Predicted;_CMfinder;
RF02130  114 40 GNAS_antisense_RNA_1_conserved_region_4 Predicted;_RNAalifold;
RF02131  125 48 GNAS_antisense_RNA_1_conserved_region_5 Predicted;_RNAalifold;
RF02132  137 28 HOXB13_antisense_RNA_1_conserved_region_1 Predicted;_CMfinder;
RF02133  82 32 HOXB13_antisense_RNA_1_conserved_region_2 Predicted;_RNAalifold;
RF02134  231 10 HTT_antisense_RNA_1_conserved_region_1 Predicted;_CMfinder;
RF02135  183 10 HTT_antisense_RNA_1_conserved_region_2 Predicted;_CMfinder;
RF02136  61 12 HTT_antisense_RNA_1_conserved_region_3 Predicted;_CMfinder;
RF02137  97 34 HOXA11_antisense_RNA_1_conserved_region_1 Predicted;_CMfinder;
RF02138  188 46 HOXA11_antisense_RNA_1_conserved_region_2 Predicted;_CMfinder;
RF02139  101 52 HOXA11_antisense_RNA_1_conserved_region_3 Predicted;_RNAalifold;
RF02140  250 44 HOXA11_antisense_RNA_1_conserved_region_4 Predicted;_CMfinder;
RF02141  204 60 HOXA11_antisense_RNA_1_conserved_region_5 Predicted;_CMfinder;
RF02142  180 46 HOXA11_antisense_RNA_1_conserved_region_6 Predicted;_CMfinder;
RF02143  242 36 Hydatidiform_mole_associated_and_imprinted_conserved_region_1 Predicted;_RNAalifold;
RF02144  115 36 rsmX Predicted;
RF02145  98 50 Maternally_expressed_8_exon_1 Predicted;_RNAalifold;
RF02146  114 28 Maternally_expressed_8_exon_2 Predicted;_CMfinder;
RF02147  67 24 Maternally_expressed_8_exon_3 Predicted;_RNAalifold;
RF02148  161 36 MEST_intronic_transcript_1,_antisense_RNA_conserved_region_1 Predicted;_CMfinder;
RF02149  252 36 MEST_intronic_transcript_1,_antisense_RNA_conserved_region_2 Predicted;_CMfinder;
RF02150  100 40 MEST_intronic_transcript_1,_antisense_RNA_conserved_region_3 Predicted;_RNAalifold;
RF02151  90 46 MER1_repeat_containing_imprinted_transcript_1_conserved_region_1 Predicted;_RNAz;_Eberhardt_R
RF02152  144 20 MER1_repeat_containing_imprinted_transcript_1_conserved_region_2 Predicted;_CMfinder;
RF02153  64 56 Neighbour_of_BRCA1_gene_2_converved_region Predicted;_CMfinder;
RF02154  142 22 Non-protein_coding_RNA,_upstream_of_F2R/PAR1_conserved_region_1 Predicted;_CMfinder;
RF02155  100 10 Non-protein_coding_RNA,_upstream_of_F2R/PAR1_conserved_region_2 Predicted;_CMfinder;
RF02156  201 42 NPPA_antisense_RNA_1_conserved_region_1 Predicted;_CMfinder;
RF02157  150 40 NPPA_antisense_RNA_1_conserved_region_2 Predicted;_CMfinder;
RF02158  109 52 NPPA_antisense_RNA_1_conserved_region_3 Predicted;_CMfinder;
RF02159  219 48 Prostate_androgen-regulated_transcript_1_conserved_region_1 Predicted;_RNAalifold;
RF02160  250 62 Prostate_androgen-regulated_transcript_1_conserved_region_2 Predicted;_CMfinder;
RF02161  132 10 Prostate_androgen-regulated_transcript_1_conserved_region_3 Predicted;_CMfinder;
RF02162  38 112 XIST_RNA_A_repeat Predicted;_CMFinder;Burge_SW
RF02163  73 8 Small_nucleolar_RNA_sR-tMet Predicted;_PMID:21654217;
RF02164  195 38 Pvt1_oncogene_conserved_region_1 Predicted;_CMfinder;
RF02165  170 38 Pvt1_oncogene_conserved_region_2 Predicted;_RNAalifold;
RF02166  96 54 Pvt1_oncogene_conserved_region_3 Predicted;_CMfinder;
RF02167  189 24 Pvt1_oncogene_conserved_region_4 Predicted;_WAR;
RF02168  134 50 Pvt1_oncogene_conserved_region_5 Predicted;_CMfinder;
RF02169  114 18 Pvt1_oncogene_conserved_region_6 Predicted;_CMfinder;
RF02170  143 20 Pvt1_oncogene_conserved_region_7 Predicted;_CMfinder;
RF02171  89 12 RFPL3_antisense_RNA_1_conserved_region_1 Predicted;_CMfinder;
RF02172  72 10 RFPL3_antisense_RNA_1_conserved_region_2 Predicted;_CMfinder;
RF02173  264 40 SMAD5_antisense_RNA_1_conserved_region_1 Predicted;_RNAalifold;
RF02174  130 44 SMAD5_antisense_RNA_1_conserved_region_2 Predicted;_RNAalifold;
RF02175  136 40 SMAD5_antisense_RNA_1_conserved_region_3 Predicted;_RNAalifold;
RF02176  174 42 SMAD5_antisense_RNA_1_conserved_region_4 Predicted;_RNAalifold;
RF02177  159 16 Smith-Magenis_syndrome_chromosome_region,_candidate_2_conserved_region_1 Predicted;_RNAalifold;
RF02178  166 14 Smith-Magenis_syndrome_chromosome_region,_candidate_2_conserved_region_2 Predicted;_RNAalifold;
RF02179  118 54 ST7_antisense_RNA_1_conserved_region_1 Predicted;_CMfinder;
RF02180  111 52 ST7_antisense_RNA_1_conserved_region_2 Predicted;_CMfinder;
RF02181  73 12 ST7_antisense_RNA_2_conserved_region_1 Predicted;_CMfinder;
RF02182  48 20 ST7_antisense_RNA_2_conserved_region_2 Predicted;_CMfinder;
RF02183  80 60 ST7_overlapping_transcript_3_conserved_region_1 Predicted;_CMfinder;
RF02184  139 14 ST7_overlapping_transcript_3_conserved_region_2 Predicted;_WAR;
RF02185  115 46 ST7_overlapping_transcript_3_conserved_region_3 Predicted;_CMfinder;
RF02186  75 20 ST7_overlapping_transcript_3_conserved_region_4 Predicted;_CMfinder;
RF02187  246 52 ST7_overlapping_transcript_4_conserved_region_1 Predicted;_CMfinder;
RF02188  200 62 ST7_overlapping_transcript_4_conserved_region_2KST7-OT4_2 Predicted;_CMfinder;
RF02189  303 44 ST7_overlapping_transcript_4_conserved_region_3 Predicted;_CMfinder;
RF02190  212 56 ST7_overlapping_transcript_4_conserved_region_4 Predicted;_CMfinder;
RF02191  119 22 T-cell_leukemia/lymphoma_6_conserved_region_1 Predicted;_CMfinder;
RF02192  126 28 T-cell_leukemia/lymphoma_6_conserved_region_2 Predicted;_RNAalifold;
RF02193  138 56 T-cell_leukemia/lymphoma_6_conserved_region_3 Predicted;_CMfinder;
RF02194  157 66 Bacterial_antisene_RNA_HPnc0260 Predicted;_CMFinder
RF02195  154 36 TP53_target_1_conserved_region_1 Predicted;_RNAalifold
RF02196  187 28 TP53_target_1_conserved_region_2 Predicted;_RNAalifold
RF02197  165 12 TP73_antisense_RNA_1_conserved_region Predicted;_CMfinder
RF02198  163 32 TTC28_antisense_RNA_1_conserved_region_1 Predicted;_CMfinder
RF02199  158 20 TTC28_antisense_RNA_1_conserved_region_2 Predicted;_CMfinder
RF02200  201 16 TTC28_antisense_RNA_1_conserved_region_3 Predicted;_Pfold
RF02201  114 40 TTC28_antisense_RNA_1_conserved_region_4 Predicted;_RNAalifold
RF02202  76 14 Urothelial_cancer_associated_1_conserved_region Predicted;_CMfinder
RF02203  110 24 WT1_antisense_RNA_conserved_region_1 Predicted;_RNAalifold
RF02204  138 40 WT1_antisense_RNA_conserved_region_2 Predicted;_CMfinder
RF02205  246 42 WT1_antisense_RNA_conserved_region_3 Predicted;_CMfinder
RF02206  145 28 WT1_antisense_RNA_conserved_region_4 Predicted;_RNAalifold
RF02207  84 12 WT1_antisense_RNA_conserved_region_5 Predicted;_CMfinder
RF02208  122 42 WT1_antisense_RNA_conserved_region_6 Predicted;_RNAalifold
RF02209  295 46 WT1_antisense_RNA_conserved_region_7 Predicted;_RNAalifold
RF02210  281 52 WT1_antisense_RNA_conserved_region_8 Predicted;_CMfinder
RF02211  80 10 ZFAT_antisense_RNA_1_conserved_region_1 Predicted;_CMfinder
RF02212  206 26 ZFAT_antisense_RNA_1_conserved_region_2 Predicted;_CMfinder
RF02213  81 14 ZFAT_antisense_RNA_1_conserved_region_3 Predicted;_RNAalifold
RF02214  95 12 microRNA_mir-56 Predicted;_CMfinder
RF02215  200 34 ZNFX1_antisense_RNA_1_conserved_region_1 Predicted;_RNAalifold
RF02216  94 40 ZNFX1_antisense_RNA_1_conserved_region_2 Predicted;_CMfinder
RF02217  90 10 ZNFX1_antisense_RNA_1_conserved_region_3 Predicted;_CMfinder
RF02218  69 20 ZNRD1_antisense_RNA_1_conserved_region_1 Predicted;_RNAalifold
RF02219  77 72 ZNRD1_antisense_RNA_1_conserved_region_2 Predicted;_CMfinder
RF02220  105 22 ZNRD1_antisense_RNA_1_conserved_region_3 Predicted;_RNAalifold
RF02221  89 152 sRNA-Xcc1 Predicted;_RNAalifold
RF02222  111 22 Xanthomonas_sRNA_sX2 Predicted;_CMfinder
RF02223  173 14 Proteobacterial_sRNA_sX4 Predicted;_RNAalifold
RF02224  51 24 Xanthomonadaceae_sRNA_sX5 Predicted;_RNAalifold
RF02225  345 20 Proteobacterial_sRNA_sX6 Predicted;_RNAalifold
RF02226  97 20 Xanthomonas_sRNA_sX7 Predicted;_RNAalifold
RF02227  83 28 Proteobacterial_sRNA_sX8 Predicted;_CMfinder
RF02228  77 36 Xanthomonas_sRNA_sX9 Predicted;_RNAalifold
RF02230  139 24 Proteobacterial_sRNA_sX11 Predicted;_CMfinder
RF02231  79 20 Xanthomonas_sRNA_sX12 Predicted;_CMfinder
RF02232  123 28 Xanthomonadaceae_sRNA_sX13 Predicted;_CMfinder
RF02233  93 20 Xanthomonas_sRNA_sX14/Xoo3 Predicted;_CMfinder
RF02234  166 32 Xanthomonadaceae_sRNA_sX15 Predicted;_CMfinder
RF02235  121 34 Xanthomonadaceae_sRNA_asX1 Predicted;_CMfinder
RF02236  88 8 Xanthomonas_sRNA_asX2 Predicted;_CMfinder
RF02237  183 12 Xanthomonas_sRNA_asX3 Predicted;_CMfinder
RF02238  319 20 Xanthomonas_sRNA_asX4/Xoo4 Predicted;_CMfinder
RF02239  95 10 Xanthomonas_sRNA_asX6 Predicted;_CMfinder
RF02240  96 14 Xanthomonadaceae_sRNA_Xoo1 Predicted;_CMfinder
RF02241  81 10 Xanthomonadaceae_sRNA_Xoo2 Predicted;_CMfinder
RF02242  125 10 Xanthomonadaceae_sRNA_Xoo5 Predicted;_RNAalifold
RF02243  324 12 Proteobacterial_sRNA_Xoo8 Predicted;_CMfinder
RF02244  97 12 microRNA_mir-785 Predicted;_WAR
RF02245  81 12 microRNA_mir-788 Predicted;_WAR
RF02246  88 22 Six3os1_conserved_region_1 Predicted;_RNAalifold
RF02247  218 34 Six3os1_conserved_region_2 Predicted;_CMfinder
RF02248  76 24 Six3os1_conserved_region_3 Predicted;_RNAalifold
RF02249  339 18 Six3os1_conserved_region_4 Predicted;_RNAalifold
RF02250  273 34 Six3os1_conserved_region_5 Predicted;_CMfinder
RF02251  204 12 Six3os1_conserved_region_6 Predicted;_CMfinder
RF02252  205 14 Six3os1_conserved_region_7 Predicted;_CMfinder
RF02253  32 72 Iron_response_element_II Published;_PMID:17849083
RF02254  98 8 microRNA_mir-35 Predicted;_WAR
RF02255  78 10 Adaptive_response_33_conserved_region_1 Predicted;_CMfinder
RF02256  72 8 Adaptive_response_33_conserved_region_2 Predicted;_CMfinder
RF02257  141 10 Adaptive_response_33_conserved_region_3 Predicted;_CMfinder
RF02258  180 8 Adaptive_response_33_conserved_region_4 Predicted;_CMfinder
RF02259  203 10 Vax2os1_conserved_region_1 Predicted;_CMfinder
RF02260  66 44 MAT2A_3'UTR_stem_loop_A Published;_PMID:21994249
RF02261  65 60 MAT2A_3'UTR_stem_loop_B Published;_PMID:21994249
RF02262  53 40 MAT2A_3'UTR_stem_loop_C Published;_PMID:21994249
RF02263  42 74 MAT2A_3'UTR_stem_loop_D Published;_PMID:21994249
RF02264  49 58 MAT2A_3'UTR_stem_loop_E Published;_PMID:21994249
RF02265  47 54 MAT2A_3'UTR_stem_loop_F Published;_PMID:21994249
RF02266  37 42 XIST_3'_intron_conserved_motif Published;_PMID:21994249
RF02267  469 10 Vax2os1_conserved_region_2 Predicted;_RNAalifold
RF02268  121 18 MtlS_RNA Predicted;_WAR;_Burge_SW
RF02269  106 18 Heliobacter_pylori_small_RNA_HPnc0580 Predicted;_RNAalifold
RF02270  74 18 Neisseria_sigma-E_sRNA Published;_PMID:22194974;_Gardner_PP
RF02271  181 102 TUC338 Predicted;_WAR;_Burge_SW
RF02272  206 14 Vax2os1_conserved_region_3 Predicted;_RNAalifold
RF02273  85 16 FsrA Predicted;_WAR;_mafft_alifold
RF02274  109 14 AniS Predicted;_WAR;_CMFinder
RF02275  68 70 Hammerhead_ribozyme_HH9 Published;_PMID:20651741;_Burge,_SW
RF02276  67 52 Hammerhead_ribozyme_(type_II) Predicted;_WAR
RF02277  127 40 Hammerhead_ribozyme_HH10 Predicted;_WAR;_mafft_alifold
RF02278  65 112 Betaproteobacteria_toxic_small_RNA Predicted;_WAR;_Burge_SW
